,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT"
"InfomodeTooltipFinancial","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**","@@UsedBy **@@Consumers**, **@@Industry**, @@ConjunctionAnd **@@Offices**"
"InfomodeTooltipFinancial","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipMedia","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware","@@ProducedFrom @@BoldSoftware"
"InfomodeTooltipMedia","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipMedia","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipLodging","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood"
"InfomodeTooltipLodging","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipLodging","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly"
"InfomodeTooltipMeals","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood","@@DisplayOptionRequires: @@BoldFood"
"InfomodeTooltipMeals","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipMeals","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly"
"InfomodeTooltipEntertainment","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages","@@DisplayOptionRequires: @@BoldBeverages"
"InfomodeTooltipEntertainment","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipEntertainment","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly"
"InfomodeTooltipRecreation","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipRecreation","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly","@@LocalOnly"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"# District selector text.",,,,,,,,,,,,
"EntireCity","Entire City","Ganze Stadt","Toda la ciudad","Ville entière","Città intera","市全体","도시 전체","Całe miasto","Cidade inteira","Весь город","整个城市","整個城市"
"DistrictSelectorTooltip","Show resource locations for the entire city or a single district.","Zeigen Sie Ressourcenstandorte für die gesamte Stadt oder einen einzelnen Bezirk an.","Mostrar ubicaciones de recursos para toda la ciudad o un solo distrito.","Afficher les emplacements des ressources pour toute la ville ou pour un seul quartier.","Mostra le posizioni delle risorse per l'intera città o per un singolo distretto.","都市全体または単一の地区のリソースの場所を表示します。","도시 전체 또는 단일 구역의 리소스 위치를 표시합니다.","Pokaż lokalizację zasobów dla całego miasta lub pojedynczego dystryktu.","Mostrar localizações de recursos para toda a cidade ou para um único distrito.","Показывать расположение ресурсов для всего города или отдельного района.","显示整个城市或单个地区的资源位置。","顯示整個城市或單一地區的資源位置。"
,,,,,,,,,,,,
"# Select/deselect text.",,,,,,,,,,,,
"SelectAll","Select All","Alles auswählen","Seleccionar todo","Sélectionner tout","Seleziona tutto","すべて選択","모두 선택","Zaznacz wszystko","Selecionar tudo","Выбрать все","全选","選擇全部"
"DeselectAll","Deselect All","Alle abwählen","Deseleccionar todo","Désélectionner tout","Deseleziona tutto","すべて選択解除","모두 선택 해제","Odznacz wszystko","Desmarcar tudo","Отменить выбор всех","取消全选","取消全選"
"SelectDeselectTooltip","Select or deselect all resource types.","Wählen Sie alle Ressourcentypen aus oder heben Sie die Auswahl auf.","Seleccionar o deseleccionar todos los tipos de recursos.","Sélectionnez ou désélectionnez tous les types de ressources.","Seleziona o deseleziona tutti i tipi di risorse.","すべてのリソース タイプを選択または選択解除します。","모든 리소스 유형을 선택하거나 선택 해제합니다.","Zaznacz lub odznacz wszystkie typy zasobów.","Selecione ou desmarque todos os tipos de recursos.","Выберите или отмените выбор всех типов ресурсов.","选择或取消选择所有资源类型。","選擇或取消選擇所有資源類型。"
,,,,,,,,,,,,
"# Resource category text.",,,,,,,,,,,,
"Materials","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]","$$EconomyPanel.RESOURCE_CATEGORY[Materials]"
"MaterialGoods","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Material Goods]"
"ImmaterialGoods","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]","$$EconomyPanel.RESOURCE_CATEGORY[Immaterial Goods]"
,,,,,,,,,,,,
"# Unit of measure text.",,,,,,,,,,,,
"UnitOfMeasurePrefixKilo","k","k",,"k","k","k","k","k","k","к ","千","千"
,,,,,,,,,,,,
,,,,,,,,,,,,
"# Settings.",,,,,,,,,,,,
"SettingTitle","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title"
,,,,,,,,,,,,
"SettingGroupInclude","Include Special Case Buildings","Sonderfallgebäude einschließen","Incluir edificios de casos especiales","Inclure les bâtiments à cas particuliers","Includi edifici con casi speciali","特殊なケースの建物を含める","특수 사례 건물 포함","Uwzględnij budynki o szczególnym przeznaczeniu","Incluir Edifícios de Casos Especiais","Включить здания особого случая","包括特殊建筑","包括特殊建築"
"@@Storage","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE","$$SelectedInfoPanel.WAREHOUSE_STORAGE"
"@@StoresForItsOwnUse","Stores for its own use","Lagerung für den Eigengebrauch","Almacenamiento para uso propio","Magasins pour son propre usage","Conservato per uso proprio","自らの使用のために保管する","자체 사용을 위한 저장소","Magazynowanie na własny użytek","Lojas para uso próprio","Хранение для собственного использования","自用储藏品","自用存儲"
"@@ResourcesProducedAtBuilding","- Resources produced at the building are included in","- Im Gebäude produzierte Ressourcen sind enthalten in","- Les ressources produites dans le bâtiment sont incluses dans","- Les ressources produites dans le bâtiment sont incluses dans","- Le risorse prodotte nell'edificio sono incluse in","- 建物内で生産された資源も価値に含まれます","- 건물에서 생산된 자원은 다음에 포함됩니다","- Zasoby wytworzone w budynku są wliczane do","- Os recursos produzidos no edifício estão incluídos em","- Ресурсы, произведенные в здании, включены в","- 建筑物中生产的资源包括在内","- 建築中生產的資源包括在"
"@@ResourcesStoredAtBuilding","- Resources stored at the building are included in","- Im Gebäude gelagerte Ressourcen sind enthalten in","- Les ressources stockées dans le bâtiment sont incluses dans","- Les ressources stockées dans le bâtiment sont incluses dans","- Le risorse immagazzinate nell'edificio sono incluse in","- 建物内に保管された資源も価値に含まれます","- 건물에 저장된 자원은 다음에 포함됩니다","- Zasoby przechowywane w budynku są wliczane do","- Os recursos armazenados no edifício estão incluídos em","- Ресурсы, хранящиеся в здании, включены в","- 建筑物中存储的资源包括在内","- 建築物內儲存的資源包括"
"@@ProducesFromGarbage","Produces from garbage","Produziert aus Müll","Produce a partir de basura","Produit à partir des déchets","Prodotto da rifiuti","ゴミから生産する","쓰레기에서 생산","Wyprodukowano ze śmieci","Produz a partir do lixo","Продукция из мусора","由垃圾生产","由垃圾生產"
"SettingIncludeGeneralDescription","When a special case building is included:","Wenn ein Sonderfallgebäude einbezogen wird:","Cuando se incluye un edificio de caso especial:","Lorsqu'un bâtiment de cas particulier est inclus :","Quando è incluso un edificio caso speciale:","特殊なケースの建物が含まれている場合:","특수 케이스 건물이 포함된 경우:","Gdy uwzględniony jest budynek specjalnego przypadku:","Quando um edifício de caso especial é incluído:","При включении здания особого случая:","当包含特殊情况建筑物时：","包含特殊情況建築物時："
"SettingIncludeGeneralDescription","- Building color is set according to the selected Display Option and selected resources.","- Die Gebäudefarbe wird entsprechend der ausgewählten Anzeigeoption und den ausgewählten Ressourcen festgelegt.","- El color del edificio se establece según la opción de visualización seleccionada y los recursos seleccionados.","- La couleur du bâtiment est définie en fonction de l'option d'affichage sélectionnée et des ressources sélectionnées.","- Il colore dell'edificio è impostato in base all'opzione di visualizzazione selezionata e alle risorse selezionate.","- 建物の色は、選択した表示オ​​プションと選択したリソースに応じて設定されます。","- 건물 색상은 선택한 디스플레이 옵션과 선택한 리소스에 따라 설정됩니다.","- Kolor budynku jest ustawiany zgodnie z wybraną Opcją wyświetlania i wybranymi zasobami.","- A cor do edifício é definida de acordo com a Opção de Exibição selecionada e os recursos selecionados.","- Цвет здания устанавливается в соответствии с выбранным параметром отображения и выбранными ресурсами.","- 根据所选的显示选项和所选的资源设置建筑物颜色。","- 根據所選的顯示選項和所選的資源設定建築物顏色。"
"SettingIncludeGeneralDescription","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces","@@ResourcesProducedAtBuilding: @@Storage - @@DisplayOptionProduces"
"SettingIncludeGeneralDescription","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores","@@ResourcesStoredAtBuilding: @@Storage - @@DisplayOptionStores"
"SettingIncludeRecyclingCenterLabel","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]","$$Progression.NODE_NAME[RecyclingCenterNode]"
"SettingIncludeRecyclingCenterDesc","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper","@@ProducesFromGarbage:  @@InfomodeTitleMetals, @@InfomodeTitlePlastics, @@InfomodeTitleTextiles, @@InfomodeTitlePaper"
"SettingIncludeCoalPowerPlantLabel","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]","$$Progression.NODE_NAME[LargeCoalPowerPlantNode]"
"SettingIncludeCoalPowerPlantDesc","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal","@@StoresForItsOwnUse: @@InfomodeTitleCoal"
"SettingIncludeGasPowerPlantLabel","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]","$$Progression.NODE_NAME[GasPowerPlantNode]"
"SettingIncludeGasPowerPlantDesc","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals","@@StoresForItsOwnUse: @@InfomodeTitlePetrochemicals"
"SettingIncludeMedicalFacilityLabel","Medical Facility","Medizinische Einrichtung","Centro médico","Établissement médical","Struttura medica","医療施設","의료 시설","Placówka medyczna","Instalação médica","Медицинское учреждение","医疗设施","醫療設施"
"SettingIncludeMedicalFacilityDesc","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals","@@StoresForItsOwnUse: @@InfomodeTitlePharmaceuticals"
"SettingIncludeEmeregencyShelterLabel","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE","$$SelectedInfoPanel.SHELTER_TITLE"
"SettingIncludeEmeregencyShelterDesc","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood","@@StoresForItsOwnUse: @@InfomodeTitleFood"
"SettingIncludeCargoStationLabel","Cargo Transport Station","Frachttransportstation","Estación de transporte de carga","Station de transport de marchandises","Stazione di trasporto merci","貨物輸送ステーション","화물 운송 스테이션","Stacja transportu towarów","Estação de Transporte de Carga","Грузовая транспортная станция","货物运输站","貨運站"
"SettingIncludeCargoStationDesc","Stores multiple resources that can be used by the city and imported/exported.","Speichert mehrere Ressourcen, die von der Stadt verwendet und importiert/exportiert werden können.","Almacena múltiples recursos que la ciudad puede usar e importar o exportar.","Stocke plusieurs ressources qui peuvent être utilisées par la ville et importées/exportées.","Immagazzina più risorse che possono essere utilizzate dalla città e importate/esportate.","都市で使用したり、輸出入したりできる複数のリソースを保管します。","도시에서 사용할 수 있고 수입/수출할 수 있는 여러 자원을 저장합니다.","Przechowuje wiele zasobów, które mogą być wykorzystywane przez miasto oraz importowane/eksportowane.","Armazena vários recursos que podem ser usados ​​pela cidade e importados/exportados.","Хранит множество ресурсов, которые могут использоваться городом и импортироваться/экспортироваться.","存储城市可使用的多种资源以及进出口的资源。","儲存城市可以使用、可匯入/匯出的多種資源。"
,,,,,,,,,,,,
"SettingGroupAbout","About","Über","Acerca de","À propos","Informazioni","について","정보","Informacje","Sobre","Об","关于","關於"
"SettingModVersionLabel","Version","Version","Versión","Version","Versione","バージョン情報","버전","Wersja","Versão","Версия","版本","版本"
"SettingModVersionDesc","Current version.","Aktuelle Version.","Versión actual.","Version actuelle.","Versione attuale.","現在のバージョン。","현재 버전.","Obecna wersja.","Versão Atual.","Текущая версия.","当前版本。","目前版本。"
